UNIT	ENTRIESn_hourly
R035	0.0
R035	361.0
R035	513.0
R035	2838.0
R035	3119.0
R035	2763.0
R035	1.0
R036	0.0
R036	126.0
R036	963.0
R036	874.0
R036	699.0
R037	0.0
R037	187.0
R037	168.0
R037	811.0
R037	1094.0
R037	967.0
R038	0.0
R038	30.0
R038	35.0
R038	223.0
R038	234.0
R038	258.0
R039	0.0
R039	84.0
R039	121.0
R039	829.0
R039	1012.0
R039	952.0
R040	0.0
R040	127.0
R040	1483.0
R040	1438.0
R040	1023.0
R041	0.0
R041	196.0
R041	198.0
R041	967.0
R041	2313.0
R041	2619.0
R042	0.0
R042	62.0
R042	490.0
R042	1186.0
R042	1332.0
R043	0.0
R043	136.0
R043	69.0
R043	39.0
R043	19.0
R043	3.0
R043	28.0
R043	58.0
R043	61.0
R043	116.0
R043	189.0
R043	358.0
R043	455.0
R043	615.0
R043	591.0
R043	528.0
R043	597.0
R043	771.0
R043	668.0
R043	579.0
R043	433.0
R043	286.0
R043	164.0
R043	147.0
R044	0.0
R044	569.0
R044	281.0
R044	1887.0
R044	5597.0
R044	4977.0
R045	0.0
R045	5.0
R045	246.0
R045	1325.0
R045	1422.0
R045	1200.0
R046	0.0
R046	1589.0
R046	432.0
R046	5686.0
R046	7431.0
R046	7773.0
R047	0.0
R047	346.0
R047	433.0
R047	1971.0
R047	2454.0
R047	2129.0
R048	0.0
R048	137.0
R048	141.0
R048	474.0
R048	550.0
R048	472.0
R049	0.0
R049	617.0
R049	244.0
R049	1868.0
R049	2308.0
R049	2601.0
R050	0.0
R050	535.0
R050	244.0
R050	1589.0
R050	3557.0
R050	4458.0
R051	0.0
R051	1076.0
R051	539.0
R051	2029.0
R051	4782.0
R051	6530.0
R052	0.0
R052	397.0
R052	181.0
R052	1018.0
R052	1294.0
R052	1202.0
R053	0.0
R053	348.0
R053	526.0
R053	2521.0
R053	496.0
R053	1866.0
R053	2100.0
R054	0.0
R054	218.0
R054	35.0
R054	410.0
R054	8.0
R054	5.0
R054	0.0
R054	627.0
R054	1683.0
R055	0.0
R055	932.0
R055	2035.0
R055	8436.0
R055	8920.0
R055	0.0
R055	8104.0
R056	0.0
R056	302.0
R056	33.0
R056	867.0
R056	1228.0
R056	1504.0
R057	0.0
R057	1060.0
R057	437.0
R057	2964.0
R057	5562.0
R057	6175.0
R058	0.0
R058	97.0
R058	4.0
R058	603.0
R058	909.0
R058	699.0
R059	0.0
R059	124.0
R059	69.0
R059	922.0
R059	1514.0
R059	1530.0
R060	0.0
R060	61.0
R060	66.0
R060	748.0
R060	3515.0
R060	4932.0
R061	0.0
R061	132.0
R061	729.0
R061	653.0
R061	510.0
R062	0.0
R062	484.0
R062	372.0
R062	3915.0
R062	3423.0
R062	2607.0
R063	0.0
R063	149.0
R063	1244.0
R063	992.0
R063	792.0
R064	0.0
R064	90.0
R064	156.0
R064	800.0
R064	741.0
R064	454.0
R065	0.0
R065	159.0
R065	920.0
R065	827.0
R065	562.0
R066	0.0
R066	45.0
R066	377.0
R066	321.0
R066	208.0
R067	0.0
R067	152.0
R067	926.0
R067	815.0
R067	648.0
R068	0.0
R068	85.0
R068	114.0
R068	483.0
R068	452.0
R068	307.0
R069	0.0
R069	192.0
R069	117.0
R069	1004.0
R069	791.0
R069	603.0
R070	0.0
R070	376.0
R070	197.0
R070	1241.0
R070	961.0
R070	1051.0
R079	0.0
R079	98.0
R079	260.0
R079	1586.0
R079	4333.0
R079	2479.0
R080	0.0
R080	1061.0
R080	367.0
R080	2266.0
R080	2896.0
R080	5001.0
R081	0.0
R081	1196.0
R081	215.0
R081	1894.0
R081	2902.0
R081	289.0
R081	334.0
R081	223.0
R081	2612.0
R082	0.0
R082	227.0
R082	43.0
R082	792.0
R082	1300.0
R082	1319.0
R083	0.0
R083	606.0
R083	97.0
R083	1306.0
R083	3433.0
R083	2870.0
R084	0.0
R084	2395.0
R084	863.0
R084	4939.0
R084	210.0
R084	9418.0
R084	326.0
R084	12954.0
R084	342.0
R085	0.0
R085	1239.0
R085	109.0
R085	1027.0
R085	2646.0
R085	3467.0
R086	0.0
R086	575.0
R086	41.0
R086	22.0
R086	34.0
R086	46.0
R086	37.0
R086	49.0
R086	165.0
R086	779.0
R086	3978.0
R087	0.0
R087	68.0
R087	7.0
R087	278.0
R087	1103.0
R087	1126.0
R088	0.0
R088	16.0
R088	18.0
R088	386.0
R088	1191.0
R088	982.0
R089	0.0
R089	23.0
R089	165.0
R089	208.0
R089	165.0
R090	0.0
R090	55.0
R090	486.0
R090	487.0
R090	619.0
R091	0.0
R091	251.0
R091	309.0
R091	1212.0
R091	1360.0
R091	874.0
R092	0.0
R092	280.0
R092	271.0
R092	2951.0
R092	503.0
R092	314.0
R092	10.0
R092	103.0
R092	42.0
R092	614.0
R093	0.0
R093	326.0
R093	3122.0
R093	2937.0
R093	1633.0
R094	0.0
R094	274.0
R094	254.0
R094	2379.0
R094	2235.0
R094	1479.0
R095	0.0
R095	303.0
R095	227.0
R095	2876.0
R095	2753.0
R095	1213.0
R096	0.0
R096	320.0
R096	273.0
R096	2701.0
R096	3367.0
R096	2578.0
R097	0.0
R097	426.0
R097	441.0
R097	5263.0
R097	3992.0
R097	2659.0
R098	0.0
R098	232.0
R098	270.0
R098	2494.0
R098	2116.0
R098	1727.0
R099	0.0
R099	325.0
R099	239.0
R099	1400.0
R099	2155.0
R099	1868.0
R100	0.0
R100	54.0
R100	39.0
R100	305.0
R100	514.0
R100	624.0
R101	0.0
R101	613.0
R101	279.0
R101	3614.0
R101	3734.0
R101	2743.0
R102	0.0
R102	920.0
R102	260.0
R102	3505.0
R102	5111.0
R102	4203.0
R103	0.0
R103	438.0
R103	1814.0
R103	1393.0
R103	1251.0
R103	0.0
R104	0.0
R104	187.0
R104	161.0
R104	1933.0
R104	1477.0
R104	1173.0
R105	0.0
R105	2018.0
R105	383.0
R105	1906.0
R105	4064.0
R105	5110.0
R106	0.0
R106	135.0
R106	1310.0
R106	1066.0
R106	660.0
R107	0.0
R107	112.0
R107	788.0
R107	777.0
R107	563.0
R108	0.0
R108	705.0
R108	182.0
R108	2309.0
R108	4129.0
R108	3614.0
R109	0.0
R109	168.0
R109	743.0
R109	1009.0
R109	1172.0
R109	920.0
R110	0.0
R110	197.0
R110	1319.0
R110	2046.0
R110	2168.0
R110	1517.0
R111	0.0
R111	743.0
R111	83.0
R111	1227.0
R111	2055.0
R111	2370.0
R112	0.0
R112	243.0
R112	161.0
R112	1862.0
R112	1947.0
R112	1718.0
R113	0.0
R113	320.0
R113	273.0
R113	1329.0
R113	1480.0
R113	1455.0
R114	0.0
R114	77.0
R114	339.0
R114	902.0
R114	957.0
R114	588.0
R115	0.0
R115	107.0
R115	356.0
R115	1262.0
R115	1238.0
R115	905.0
R116	0.0
R116	1048.0
R116	275.0
R116	1896.0
R116	2610.0
R116	3795.0
R117	0.0
R117	103.0
R117	1214.0
R117	1131.0
R117	1013.0
R118	0.0
R118	128.0
R118	203.0
R118	1070.0
R118	2909.0
R118	2849.0
R119	0.0
R119	251.0
R119	2208.0
R119	2171.0
R119	1721.0
R120	0.0
R120	114.0
R120	383.0
R120	1604.0
R120	1904.0
R120	946.0
R121	0.0
R121	246.0
R121	36.0
R121	1324.0
R121	1241.0
R121	1142.0
R122	0.0
R122	288.0
R122	244.0
R122	4477.0
R122	3218.0
R122	2154.0
R123	0.0
R123	336.0
R123	2015.0
R123	1981.0
R123	1656.0
R124	0.0
R124	96.0
R124	108.0
R124	787.0
R124	950.0
R124	598.0
R125	0.0
R125	0.0
R125	0.0
R125	0.0
R125	0.0
R125	0.0
R126	0.0
R126	181.0
R126	396.0
R126	1871.0
R126	1949.0
R126	1457.0
R127	0.0
R127	541.0
R127	350.0
R127	1689.0
R127	3190.0
R127	3267.0
R128	0.0
R128	76.0
R128	445.0
R128	703.0
R128	729.0
R128	427.0
R129	0.0
R129	259.0
R129	306.0
R129	1289.0
R129	2338.0
R129	1811.0
R130	0.0
R130	54.0
R130	319.0
R130	590.0
R130	511.0
R130	395.0
R131	0.0
R131	360.0
R131	478.0
R131	2668.0
R131	3282.0
R131	2601.0
R132	0.0
R132	438.0
R132	1206.0
R132	2852.0
R132	4059.0
R132	3569.0
R133	0.0
R133	157.0
R133	752.0
R133	1123.0
R133	1320.0
R133	946.0
R134	0.0
R134	107.0
R134	171.0
R134	216.0
R134	329.0
R134	161.0
R135	0.0
R135	98.0
R135	695.0
R135	909.0
R135	898.0
R135	589.0
R136	0.0
R136	160.0
R136	858.0
R136	1565.0
R136	1473.0
R136	993.0
R137	0.0
R137	388.0
R137	544.0
R137	3367.0
R137	3071.0
R137	1928.0
R138	0.0
R138	3332.0
R138	933.0
R138	2851.0
R138	5978.0
R138	1366.0
R138	5830.0
R139	0.0
R139	646.0
R139	1031.0
R139	2070.0
R139	2958.0
R140	0.0
R140	69.0
R140	282.0
R140	585.0
R140	803.0
R140	544.0
R141	0.0
R141	340.0
R141	1309.0
R141	3871.0
R141	3603.0
R141	2500.0
R142	0.0
R142	1319.0
R142	816.0
R142	2434.0
R142	3513.0
R142	3254.0
R143	0.0
R143	507.0
R143	542.0
R143	1922.0
R143	2472.0
R143	1916.0
R144	0.0
R144	225.0
R144	840.0
R144	2768.0
R144	3233.0
R144	2474.0
R145	0.0
R145	0.0
R145	4.0
R145	9.0
R145	8.0
R145	0.0
R146	0.0
R146	155.0
R146	787.0
R146	1123.0
R146	1303.0
R146	907.0
R147	0.0
R147	263.0
R147	1431.0
R147	2947.0
R147	2763.0
R147	1708.0
R148	0.0
R148	97.0
R148	513.0
R148	960.0
R148	1073.0
R148	782.0
R149	0.0
R149	78.0
R149	829.0
R149	1597.0
R149	1371.0
R149	779.0
R150	0.0
R150	47.0
R150	633.0
R150	1345.0
R150	1021.0
R150	703.0
R151	0.0
R151	22.0
R151	13.0
R151	839.0
R151	5.0
R151	5.0
R151	367.0
R151	1013.0
R151	4849.0
R152	0.0
R152	189.0
R152	803.0
R152	1461.0
R152	1389.0
R152	1031.0
R153	0.0
R153	265.0
R153	1001.0
R153	1883.0
R153	1962.0
R153	1414.0
R154	0.0
R154	142.0
R154	862.0
R154	1115.0
R154	1132.0
R154	866.0
R155	0.0
R155	97.0
R155	723.0
R155	958.0
R155	902.0
R155	634.0
R156	0.0
R156	78.0
R156	526.0
R156	868.0
R156	610.0
R156	436.0
R157	0.0
R157	130.0
R157	841.0
R157	1274.0
R157	1236.0
R157	768.0
R158	0.0
R158	489.0
R158	2587.0
R158	2273.0
R158	2839.0
R158	2100.0
R159	0.0
R159	165.0
R159	334.0
R159	1620.0
R159	2423.0
R159	2040.0
R160	0.0
R160	1240.0
R160	321.0
R160	1462.0
R160	2991.0
R160	3083.0
R161	0.0
R161	140.0
R161	651.0
R161	987.0
R161	1747.0
R161	11.0
R161	83.0
R161	808.0
R163	0.0
R163	1240.0
R163	130.0
R163	1133.0
R163	2904.0
R163	3945.0
R164	0.0
R164	373.0
R164	363.0
R164	2234.0
R164	3568.0
R164	3172.0
R165	0.0
R165	21.0
R165	95.0
R165	105.0
R165	93.0
R165	67.0
R166	0.0
R166	332.0
R166	463.0
R166	2259.0
R166	3397.0
R166	3476.0
R167	0.0
R167	410.0
R167	561.0
R167	2454.0
R167	3583.0
R167	3001.0
R168	0.0
R168	551.0
R168	1572.0
R168	5868.0
R168	6694.0
R168	5206.0
R169	0.0
R169	206.0
R169	922.0
R169	2142.0
R169	2424.0
R169	1627.0
R170	0.0
R170	4762.0
R170	1774.0
R170	8118.0
R170	18906.0
R170	20362.0
R171	0.0
R171	92.0
R171	230.0
R171	1172.0
R171	1670.0
R171	1292.0
R172	0.0
R172	104.0
R172	82.0
R172	1887.0
R172	1845.0
R172	1657.0
R173	0.0
R173	118.0
R173	669.0
R173	1400.0
R173	1326.0
R173	951.0
R174	0.0
R174	76.0
R174	595.0
R174	2018.0
R174	1834.0
R174	944.0
R175	0.0
R175	2885.0
R175	898.0
R175	3122.0
R175	6561.0
R175	7126.0
R176	0.0
R176	545.0
R176	552.0
R176	2815.0
R176	3361.0
R176	2899.0
R177	0.0
R177	156.0
R177	568.0
R177	2730.0
R177	3693.0
R177	3559.0
R178	0.0
R178	394.0
R178	793.0
R178	3619.0
R178	5350.0
R178	4455.0
R179	0.0
R179	1378.0
R179	467.0
R179	5281.0
R179	9862.0
R179	8247.0
R180	0.0
R180	206.0
R180	857.0
R180	2040.0
R180	2304.0
R180	1758.0
R181	0.0
R181	286.0
R181	376.0
R181	1666.0
R181	1756.0
R181	1531.0
R182	0.0
R182	294.0
R182	1005.0
R182	2478.0
R182	4237.0
R182	3862.0
R183	0.0
R183	96.0
R183	865.0
R183	776.0
R183	621.0
R184	0.0
R184	101.0
R184	1389.0
R184	1216.0
R184	680.0
R185	0.0
R185	121.0
R185	492.0
R185	824.0
R185	798.0
R185	596.0
R186	0.0
R186	111.0
R186	6.0
R186	44.0
R186	641.0
R186	1392.0
R186	483.0
R186	1436.0
R187	0.0
R187	72.0
R187	144.0
R187	1169.0
R187	3285.0
R187	2499.0
R188	0.0
R188	806.0
R188	149.0
R188	1734.0
R188	2270.0
R188	3202.0
R189	0.0
R189	1268.0
R189	368.0
R189	918.0
R189	1923.0
R189	2635.0
R190	0.0
R190	521.0
R190	333.0
R190	1725.0
R190	2839.0
R190	2730.0
R191	0.0
R191	114.0
R191	652.0
R191	2090.0
R191	2406.0
R191	1830.0
R192	0.0
R192	286.0
R192	453.0
R192	2036.0
R192	2696.0
R192	2170.0
R193	0.0
R193	155.0
R193	831.0
R193	1715.0
R193	1690.0
R193	1553.0
R194	0.0
R194	976.0
R194	1106.0
R194	2106.0
R194	2604.0
R195	0.0
R195	553.0
R195	1278.0
R195	2493.0
R195	10497.0
R195	10107.0
R196	0.0
R196	183.0
R196	0.0
R196	1551.0
R196	3095.0
R196	3718.0
R197	0.0
R197	232.0
R197	1151.0
R197	2265.0
R197	2168.0
R197	1335.0
R198	0.0
R198	364.0
R198	366.0
R198	2406.0
R198	2533.0
R198	2070.0
R199	0.0
R199	179.0
R199	1026.0
R199	816.0
R199	616.0
R200	0.0
R200	196.0
R200	76.0
R200	1633.0
R200	1222.0
R200	965.0
R201	0.0
R201	166.0
R201	1257.0
R201	516.0
R201	547.0
R201	147.0
R201	256.0
R201	333.0
R201	3607.0
R201	3968.0
R202	0.0
R202	173.0
R202	121.0
R202	2155.0
R202	183.0
R202	248.0
R202	98.0
R202	1960.0
R202	16.0
R202	43.0
R202	63.0
R202	57.0
R202	20.0
R202	6.0
R202	935.0
R203	0.0
R203	352.0
R203	75.0
R203	586.0
R203	1411.0
R203	1665.0
R204	0.0
R204	140.0
R204	226.0
R204	2590.0
R204	1995.0
R204	1175.0
R205	0.0
R205	287.0
R205	560.0
R205	1152.0
R205	1470.0
R205	0.0
R205	960.0
R206	0.0
R206	271.0
R206	534.0
R206	1806.0
R206	2987.0
R206	2133.0
R207	0.0
R207	369.0
R207	0.0
R207	2548.0
R207	2667.0
R207	1652.0
R208	0.0
R208	337.0
R208	542.0
R208	4459.0
R208	3111.0
R208	2227.0
R209	0.0
R209	103.0
R209	305.0
R209	708.0
R209	804.0
R209	541.0
R210	0.0
R210	68.0
R210	742.0
R210	522.0
R210	427.0
R211	0.0
R211	123.0
R211	278.0
R211	2600.0
R211	2408.0
R211	1963.0
R212	0.0
R212	139.0
R212	144.0
R212	2368.0
R212	1696.0
R212	1130.0
R213	0.0
R213	89.0
R213	231.0
R213	1424.0
R213	1245.0
R213	833.0
R214	0.0
R214	50.0
R214	860.0
R214	745.0
R214	435.0
R215	0.0
R215	150.0
R215	77.0
R215	1839.0
R215	1552.0
R215	1518.0
R216	0.0
R216	69.0
R216	150.0
R216	889.0
R216	953.0
R216	673.0
R217	0.0
R217	245.0
R217	581.0
R217	1050.0
R217	1346.0
R218	0.0
R218	67.0
R218	723.0
R218	879.0
R218	822.0
R218	1530.0
R219	0.0
R219	51.0
R219	164.0
R219	1339.0
R219	1168.0
R219	442.0
R220	0.0
R220	352.0
R220	56.0
R220	1204.0
R220	1830.0
R220	1585.0
R221	0.0
R221	199.0
R221	1875.0
R221	1424.0
R221	1081.0
R222	0.0
R222	228.0
R222	1500.0
R222	2202.0
R222	2246.0
R222	1209.0
R223	0.0
R223	246.0
R223	487.0
R223	2805.0
R223	2807.0
R223	1664.0
R224	0.0
R224	166.0
R224	78.0
R224	800.0
R224	1307.0
R224	1039.0
R225	0.0
R225	72.0
R225	14.0
R225	296.0
R225	825.0
R225	722.0
R226	0.0
R226	44.0
R226	203.0
R226	415.0
R226	389.0
R226	288.0
R227	0.0
R227	46.0
R227	15.0
R227	313.0
R227	628.0
R227	636.0
R228	0.0
R228	1397.0
R228	1168.0
R228	806.0
R229	0.0
R229	26.0
R229	21.0
R229	563.0
R229	582.0
R229	350.0
R230	0.0
R230	38.0
R230	90.0
R230	819.0
R230	39.0
R230	21.0
R230	87.0
R230	258.0
R230	227.0
R231	0.0
R231	233.0
R231	43.0
R231	870.0
R231	1140.0
R231	1052.0
R232	0.0
R232	54.0
R232	227.0
R232	1346.0
R232	1300.0
R232	965.0
R233	0.0
R233	82.0
R233	1473.0
R233	1277.0
R233	958.0
R234	0.0
R234	25.0
R234	452.0
R234	530.0
R234	319.0
R235	0.0
R235	3263.0
R235	139.0
R235	3319.0
R235	6306.0
R235	6542.0
R236	0.0
R236	281.0
R236	2378.0
R236	2084.0
R236	1192.0
R237	0.0
R237	118.0
R237	1119.0
R237	749.0
R237	585.0
R238	0.0
R238	556.0
R238	311.0
R238	1322.0
R238	2016.0
R238	1679.0
R239	0.0
R239	283.0
R239	122.0
R239	1127.0
R239	1455.0
R239	1039.0
R240	0.0
R240	646.0
R240	326.0
R240	2343.0
R240	5504.0
R240	6117.0
R241	0.0
R241	27.0
R241	57.0
R241	281.0
R241	481.0
R241	495.0
R242	0.0
R242	57.0
R242	972.0
R242	781.0
R242	530.0
R243	0.0
R243	230.0
R243	358.0
R243	1367.0
R243	1431.0
R243	1094.0
R244	0.0
R244	117.0
R244	113.0
R244	386.0
R244	1431.0
R244	1346.0
R244	1131.0
R244	312.0
R244	194.0
R246	0.0
R246	96.0
R246	826.0
R246	751.0
R246	457.0
R247	0.0
R247	21.0
R247	263.0
R247	306.0
R247	245.0
R248	0.0
R248	2146.0
R248	2708.0
R248	3606.0
R248	3671.0
R249	0.0
R249	412.0
R249	49.0
R249	1491.0
R249	1817.0
R249	1249.0
R250	0.0
R250	166.0
R250	173.0
R250	701.0
R250	822.0
R250	755.0
R251	0.0
R251	52.0
R251	83.0
R251	822.0
R251	1594.0
R251	1284.0
R252	0.0
R252	126.0
R252	27.0
R252	664.0
R252	1356.0
R252	1341.0
R253	0.0
R253	75.0
R253	2.0
R253	968.0
R253	695.0
R253	494.0
R254	0.0
R254	149.0
R254	920.0
R254	2874.0
R254	2945.0
R254	2197.0
R255	0.0
R255	47.0
R255	224.0
R255	889.0
R255	783.0
R255	467.0
R256	0.0
R256	268.0
R256	114.0
R256	894.0
R256	651.0
R256	475.0
R257	0.0
R257	255.0
R257	194.0
R257	1674.0
R257	2179.0
R257	2072.0
R258	0.0
R258	447.0
R258	166.0
R258	1416.0
R258	1992.0
R258	1872.0
R259	0.0
R259	129.0
R259	87.0
R259	1280.0
R259	1498.0
R259	1087.0
R260	0.0
R260	182.0
R260	169.0
R260	1597.0
R260	1807.0
R260	1646.0
R261	0.0
R261	197.0
R261	2144.0
R261	1800.0
R261	1226.0
R262	0.0
R262	42.0
R262	690.0
R262	520.0
R262	317.0
R263	0.0
R263	7.0
R263	5.0
R263	197.0
R263	143.0
R263	129.0
R264	0.0
R264	32.0
R264	61.0
R264	549.0
R264	593.0
R264	462.0
R265	0.0
R265	402.0
R265	1141.0
R265	1252.0
R265	937.0
R266	0.0
R266	226.0
R266	318.0
R266	1060.0
R266	1034.0
R266	643.0
R267	0.0
R267	67.0
R267	487.0
R267	1111.0
R267	1249.0
R267	718.0
R268	0.0
R268	1112.0
R268	581.0
R268	2285.0
R268	2938.0
R268	2161.0
R269	0.0
R269	77.0
R269	51.0
R269	1053.0
R269	1103.0
R269	730.0
R270	0.0
R270	122.0
R270	13.0
R270	462.0
R270	697.0
R270	912.0
R271	0.0
R271	79.0
R271	148.0
R271	372.0
R271	364.0
R271	251.0
R272	0.0
R272	299.0
R272	364.0
R272	1184.0
R272	1571.0
R272	1554.0
R273	0.0
R273	234.0
R273	84.0
R273	2065.0
R273	1946.0
R273	1398.0
R274	0.0
R274	55.0
R274	319.0
R274	1233.0
R274	1303.0
R274	892.0
R275	0.0
R275	104.0
R275	224.0
R275	169.0
R275	678.0
R275	1209.0
R275	559.0
R275	199.0
R275	62.0
R276	0.0
R276	252.0
R276	154.0
R276	1355.0
R276	1899.0
R276	1226.0
R277	0.0
R277	52.0
R277	489.0
R277	454.0
R277	343.0
R278	0.0
R278	77.0
R278	552.0
R278	443.0
R278	284.0
R279	0.0
R279	263.0
R279	1173.0
R279	1084.0
R279	742.0
R280	0.0
R280	75.0
R280	89.0
R280	712.0
R280	1012.0
R280	601.0
R281	0.0
R281	157.0
R281	19.0
R281	801.0
R281	2099.0
R281	2714.0
R282	0.0
R282	206.0
R282	82.0
R282	430.0
R282	955.0
R282	1428.0
R283	0.0
R283	113.0
R283	155.0
R283	557.0
R283	859.0
R283	855.0
R284	0.0
R284	293.0
R284	39.0
R284	850.0
R284	927.0
R284	701.0
R285	0.0
R285	0.0
R285	0.0
R285	0.0
R285	0.0
R286	0.0
R286	78.0
R286	305.0
R286	670.0
R286	687.0
R286	455.0
R287	0.0
R287	106.0
R287	684.0
R287	682.0
R287	482.0
R288	0.0
R288	123.0
R288	441.0
R288	2143.0
R288	2570.0
R288	1912.0
R289	0.0
R289	15.0
R289	115.0
R289	418.0
R289	442.0
R289	266.0
R290	0.0
R290	281.0
R290	165.0
R290	667.0
R290	1094.0
R290	1074.0
R291	0.0
R291	95.0
R291	47.0
R291	407.0
R291	610.0
R291	546.0
R292	0.0
R292	30.0
R292	193.0
R292	229.0
R292	285.0
R292	216.0
R293	0.0
R293	774.0
R293	2578.0
R293	6205.0
R293	7430.0
R293	7735.0
R294	0.0
R294	399.0
R294	122.0
R294	1099.0
R294	1435.0
R294	987.0
R295	0.0
R295	76.0
R295	738.0
R295	611.0
R295	397.0
R296	0.0
R296	76.0
R296	343.0
R296	747.0
R296	586.0
R296	416.0
R297	0.0
R297	58.0
R297	950.0
R297	1004.0
R297	816.0
R298	0.0
R298	99.0
R298	373.0
R298	787.0
R298	940.0
R298	795.0
R299	0.0
R299	102.0
R299	210.0
R299	484.0
R299	555.0
R299	393.0
R300	0.0
R300	1940.0
R300	494.0
R300	1854.0
R300	2800.0
R300	3186.0
R301	0.0
R301	97.0
R301	158.0
R301	648.0
R301	1258.0
R301	947.0
R302	0.0
R302	284.0
R302	211.0
R302	842.0
R302	2223.0
R302	2383.0
R303	0.0
R303	171.0
R303	1547.0
R303	1126.0
R303	938.0
R304	0.0
R304	69.0
R304	9.0
R304	772.0
R304	1140.0
R304	898.0
R306	0.0
R306	44.0
R306	235.0
R306	540.0
R306	463.0
R306	313.0
R307	0.0
R307	71.0
R307	345.0
R307	276.0
R307	272.0
R308	0.0
R308	110.0
R308	259.0
R308	810.0
R308	793.0
R308	646.0
R309	0.0
R309	97.0
R309	77.0
R309	950.0
R309	809.0
R309	596.0
R310	0.0
R310	181.0
R310	277.0
R310	2830.0
R310	1822.0
R310	1831.0
R311	0.0
R311	277.0
R311	337.0
R311	578.0
R311	831.0
R312	0.0
R312	16.0
R312	31.0
R312	229.0
R312	508.0
R312	708.0
R313	0.0
R313	48.0
R313	280.0
R313	204.0
R313	128.0
R314	0.0
R314	35.0
R314	255.0
R314	865.0
R314	793.0
R314	685.0
R315	0.0
R315	84.0
R315	1514.0
R315	475.0
R316	0.0
R316	22.0
R316	154.0
R316	233.0
R316	325.0
R316	223.0
R317	0.0
R317	80.0
R317	138.0
R317	819.0
R317	861.0
R317	698.0
R318	0.0
R318	163.0
R318	293.0
R318	680.0
R318	833.0
R319	0.0
R319	327.0
R319	189.0
R319	921.0
R319	1715.0
R319	2319.0
R320	0.0
R320	131.0
R320	102.0
R320	400.0
R320	899.0
R320	865.0
R321	0.0
R321	322.0
R321	20.0
R321	415.0
R321	1025.0
R321	1263.0
R322	0.0
R322	689.0
R322	29.0
R322	844.0
R322	2195.0
R322	3331.0
R323	0.0
R323	219.0
R323	1491.0
R323	1559.0
R323	1306.0
R324	0.0
R324	160.0
R324	572.0
R324	1982.0
R324	2207.0
R324	1459.0
R325	0.0
R325	53.0
R325	16.0
R325	518.0
R325	312.0
R325	261.0
R326	0.0
R326	46.0
R326	208.0
R326	305.0
R326	311.0
R326	152.0
R327	0.0
R327	123.0
R327	559.0
R327	1421.0
R327	1150.0
R327	655.0
R328	0.0
